year,month,decimal,average
1983,7,1983.542,1626.58
1983,8,1983.625,1627.88
1983,9,1983.708,1638.49
1983,10,1983.792,1644.80
1983,11,1983.875,1642.58
1983,12,1983.958,1639.52
1984,1,1984.042,1638.67
1984,2,1984.125,1638.77
1984,3,1984.208,1640.76
1984,4,1984.292,1643.72
1984,5,1984.375,1642.91
1984,6,1984.458,1639.62
1984,7,1984.542,1637.77
1984,8,1984.625,1641.36
1984,9,1984.708,1650.43
1984,10,1984.792,1654.49
1984,11,1984.875,1653.66
1984,12,1984.958,1656.14
1985,1,1985.042,1655.59
1985,2,1985.125,1652.23
1985,3,1985.208,1654.60
1985,4,1985.292,1658.18
1985,5,1985.375,1655.87
1985,6,1985.458,1650.06
1985,7,1985.542,1646.79
1985,8,1985.625,1652.25
1985,9,1985.708,1662.53
1985,10,1985.792,1667.49
1985,11,1985.875,1666.77
1985,12,1985.958,1666.06
1986,1,1986.042,1666.24
1986,2,1986.125,1666.85
1986,3,1986.208,1669.26
1986,4,1986.292,1670.81
1986,5,1986.375,1668.44
1986,6,1986.458,1664.79
1986,7,1986.542,1662.31
1986,8,1986.625,1664.36
1986,9,1986.708,1672.61
1986,10,1986.792,1678.67
1986,11,1986.875,1678.98
1986,12,1986.958,1679.13
1987,1,1987.042,1679.32
1987,2,1987.125,1678.98
1987,3,1987.208,1680.12
1987,4,1987.292,1681.43
1987,5,1987.375,1681.86
1987,6,1987.458,1680.03
1987,7,1987.542,1675.97
1987,8,1987.625,1677.14
1987,9,1987.708,1685.62
1987,10,1987.792,1691.57
1987,11,1987.875,1691.16
1987,12,1987.958,1690.51
1988,1,1988.042,1691.95
1988,2,1988.125,1692.49
1988,3,1988.208,1691.25
1988,4,1988.292,1689.99
1988,5,1988.375,1689.05
1988,6,1988.458,1687.10
1988,7,1988.542,1685.79
1988,8,1988.625,1689.15
1988,9,1988.708,1695.95
1988,10,1988.792,1701.07
1988,11,1988.875,1702.82
1988,12,1988.958,1701.96
1989,1,1989.042,1700.55
1989,2,1989.125,1701.08
1989,3,1989.208,1702.54
1989,4,1989.292,1703.67
1989,5,1989.375,1703.42
1989,6,1989.458,1700.25
1989,7,1989.542,1698.22
1989,8,1989.625,1701.97
1989,9,1989.708,1707.20
1989,10,1989.792,1710.51
1989,11,1989.875,1713.07
1989,12,1989.958,1713.18
1990,1,1990.042,1711.99
1990,2,1990.125,1713.33
1990,3,1990.208,1714.36
1990,4,1990.292,1712.63
1990,5,1990.375,1710.68
1990,6,1990.458,1708.34
1990,7,1990.542,1706.36
1990,8,1990.625,1710.10
1990,9,1990.708,1717.58
1990,10,1990.792,1722.03
1990,11,1990.875,1723.49
1990,12,1990.958,1723.37
1991,1,1991.042,1721.60
1991,2,1991.125,1721.20
1991,3,1991.208,1722.12
1991,4,1991.292,1722.54
1991,5,1991.375,1722.23
1991,6,1991.458,1719.03
1991,7,1991.542,1716.05
1991,8,1991.625,1719.21
1991,9,1991.708,1726.17
1991,10,1991.792,1732.72
1991,11,1991.875,1737.47
1991,12,1991.958,1739.65
1992,1,1992.042,1738.89
1992,2,1992.125,1737.33
1992,3,1992.208,1736.96
1992,4,1992.292,1736.63
1992,5,1992.375,1734.92
1992,6,1992.458,1731.59
1992,7,1992.542,1728.87
1992,8,1992.625,1730.41
1992,9,1992.708,1734.71
1992,10,1992.792,1737.75
1992,11,1992.875,1739.29
1992,12,1992.958,1738.58
1993,1,1993.042,1735.76
1993,2,1993.125,1734.38
1993,3,1993.208,1735.51
1993,4,1993.292,1736.67
1993,5,1993.375,1734.96
1993,6,1993.458,1730.84
1993,7,1993.542,1728.02
1993,8,1993.625,1731.19
1993,9,1993.708,1738.49
1993,10,1993.792,1743.34
1993,11,1993.875,1745.16
1993,12,1993.958,1744.28
1994,1,1994.042,1741.42
1994,2,1994.125,1740.85
1994,3,1994.208,1741.93
1994,4,1994.292,1741.92
1994,5,1994.375,1740.63
1994,6,1994.458,1736.92
1994,7,1994.542,1732.40
1994,8,1994.625,1734.08
1994,9,1994.708,1742.97
1994,10,1994.792,1749.82
1994,11,1994.875,1751.23
1994,12,1994.958,1751.57
1995,1,1995.042,1751.04
1995,2,1995.125,1749.40
1995,3,1995.208,1748.93
1995,4,1995.292,1749.38
1995,5,1995.375,1747.61
1995,6,1995.458,1742.82
1995,7,1995.542,1740.14
1995,8,1995.625,1743.56
1995,9,1995.708,1749.76
1995,10,1995.792,1754.27
1995,11,1995.875,1755.39
1995,12,1995.958,1753.82
1996,1,1996.042,1752.29
1996,2,1996.125,1752.81
1996,3,1996.208,1752.27
1996,4,1996.292,1749.58
1996,5,1996.375,1748.27
1996,6,1996.458,1746.05
1996,7,1996.542,1742.01
1996,8,1996.625,1744.24
1996,9,1996.708,1752.60
1996,10,1996.792,1758.81
1996,11,1996.875,1759.99
1996,12,1996.958,1756.95
1997,1,1997.042,1753.41
1997,2,1997.125,1753.89
1997,3,1997.208,1755.69
1997,4,1997.292,1755.52
1997,5,1997.375,1753.85
1997,6,1997.458,1750.16
1997,7,1997.542,1746.13
1997,8,1997.625,1747.89
1997,9,1997.708,1755.05
1997,10,1997.792,1760.23
1997,11,1997.875,1761.68
1997,12,1997.958,1761.93
1998,1,1998.042,1761.50
1998,2,1998.125,1761.56
1998,3,1998.208,1763.05
1998,4,1998.292,1764.69
1998,5,1998.375,1764.17
1998,6,1998.458,1760.29
1998,7,1998.542,1756.15
1998,8,1998.625,1760.12
1998,9,1998.708,1770.55
1998,10,1998.792,1776.20
1998,11,1998.875,1775.55
1998,12,1998.958,1774.17
1999,1,1999.042,1773.98
1999,2,1999.125,1774.14
1999,3,1999.208,1774.75
1999,4,1999.292,1774.95
1999,5,1999.375,1772.65
1999,6,1999.458,1767.41
1999,7,1999.542,1762.99
1999,8,1999.625,1764.71
1999,9,1999.708,1771.13
1999,10,1999.792,1776.63
1999,11,1999.875,1778.55
1999,12,1999.958,1777.30
2000,1,2000.042,1775.57
2000,2,2000.125,1775.49
2000,3,2000.208,1776.62
2000,4,2000.292,1777.27
2000,5,2000.375,1774.56
2000,6,2000.458,1768.19
2000,7,2000.542,1763.54
2000,8,2000.625,1765.53
2000,9,2000.708,1772.15
2000,10,2000.792,1777.10
2000,11,2000.875,1777.63
2000,12,2000.958,1775.27
2001,1,2001.042,1772.86
2001,2,2001.125,1772.48
2001,3,2001.208,1773.64
2001,4,2001.292,1773.84
2001,5,2001.375,1770.71
2001,6,2001.458,1765.85
2001,7,2001.542,1762.72
2001,8,2001.625,1764.28
2001,9,2001.708,1770.43
2001,10,2001.792,1775.50
2001,11,2001.875,1776.53
2001,12,2001.958,1775.92
2002,1,2002.042,1774.09
2002,2,2002.125,1772.82
2002,3,2002.208,1773.40
2002,4,2002.292,1772.71
2002,5,2002.375,1770.26
2002,6,2002.458,1766.90
2002,7,2002.542,1764.27
2002,8,2002.625,1767.00
2002,9,2002.708,1773.76
2002,10,2002.792,1778.20
2002,11,2002.875,1779.50
2002,12,2002.958,1779.71
2003,1,2003.042,1777.54
2003,2,2003.125,1774.83
2003,3,2003.208,1774.84
2003,4,2003.292,1775.72
2003,5,2003.375,1774.40
2003,6,2003.458,1771.70
2003,7,2003.542,1770.67
2003,8,2003.625,1774.23
2003,9,2003.708,1780.51
2003,10,2003.792,1784.66
2003,11,2003.875,1785.30
2003,12,2003.958,1783.59
2004,1,2004.042,1780.90
2004,2,2004.125,1779.96
2004,3,2004.208,1781.00
2004,4,2004.292,1780.70
2004,5,2004.375,1777.56
2004,6,2004.458,1772.30
2004,7,2004.542,1767.98
2004,8,2004.625,1769.72
2004,9,2004.708,1775.50
2004,10,2004.792,1779.68
2004,11,2004.875,1780.46
2004,12,2004.958,1778.35
2005,1,2005.042,1776.21
2005,2,2005.125,1775.65
2005,3,2005.208,1775.38
2005,4,2005.292,1774.59
2005,5,2005.375,1772.27
2005,6,2005.458,1768.59
2005,7,2005.542,1766.26
2005,8,2005.625,1768.04
2005,9,2005.708,1773.13
2005,10,2005.792,1778.47
2005,11,2005.875,1781.16
2005,12,2005.958,1780.23
2006,1,2006.042,1779.46
2006,2,2006.125,1779.41
2006,3,2006.208,1777.40
2006,4,2006.292,1776.14
2006,5,2006.375,1774.94
2006,6,2006.458,1769.28
2006,7,2006.542,1764.15
2006,8,2006.625,1767.24
2006,9,2006.708,1774.64
2006,10,2006.792,1778.22
2006,11,2006.875,1779.00
2006,12,2006.958,1779.95
2007,1,2007.042,1779.22
2007,2,2007.125,1778.64
2007,3,2007.208,1780.34
2007,4,2007.292,1781.12
2007,5,2007.375,1779.43
2007,6,2007.458,1775.62
2007,7,2007.542,1772.58
2007,8,2007.625,1777.20
2007,9,2007.708,1785.94
2007,10,2007.792,1789.84
2007,11,2007.875,1789.49
2007,12,2007.958,1788.25
2008,1,2008.042,1786.76
2008,2,2008.125,1785.77
2008,3,2008.208,1786.11
2008,4,2008.292,1786.84
2008,5,2008.375,1785.18
2008,6,2008.458,1780.45
2008,7,2008.542,1777.60
2008,8,2008.625,1781.03
2008,9,2008.708,1787.68
2008,10,2008.792,1793.66
2008,11,2008.875,1797.31
2008,12,2008.958,1796.65
2009,1,2009.042,1795.07
2009,2,2009.125,1795.58
2009,3,2009.208,1795.99
2009,4,2009.292,1795.54
2009,5,2009.375,1792.34
2009,6,2009.458,1786.93
2009,7,2009.542,1784.95
2009,8,2009.625,1788.82
2009,9,2009.708,1794.84
2009,10,2009.792,1798.02
2009,11,2009.875,1797.87
2009,12,2009.958,1796.71
2010,1,2010.042,1797.10
2010,2,2010.125,1798.73
2010,3,2010.208,1799.44
2010,4,2010.292,1799.61
2010,5,2010.375,1797.71
2010,6,2010.458,1792.55
2010,7,2010.542,1789.40
2010,8,2010.625,1794.03
2010,9,2010.708,1801.81
2010,10,2010.792,1806.49
2010,11,2010.875,1807.00
2010,12,2010.958,1803.62
2011,1,2011.042,1800.47
2011,2,2011.125,1800.20
2011,3,2011.208,1801.00
2011,4,2011.292,1802.86
2011,5,2011.375,1803.31
2011,6,2011.458,1799.18
2011,7,2011.542,1796.13
2011,8,2011.625,1798.95
2011,9,2011.708,1804.02
2011,10,2011.792,1809.49
2011,11,2011.875,1812.30
2011,12,2011.958,1810.02
2012,1,2012.042,1807.32
2012,2,2012.125,1808.25
2012,3,2012.208,1809.97
2012,4,2012.292,1808.39
2012,5,2012.375,1804.68
2012,6,2012.458,1800.93
2012,7,2012.542,1799.25
2012,8,2012.625,1803.20
2012,9,2012.708,1810.10
2012,10,2012.792,1814.71
2012,11,2012.875,1815.84
2012,12,2012.958,1814.61
2013,1,2013.042,1814.13
2013,2,2013.125,1814.21
2013,3,2013.208,1813.29
2013,4,2013.292,1812.81
2013,5,2013.375,1811.93
2013,6,2013.458,1808.54
2013,7,2013.542,1805.73
2013,8,2013.625,1808.40
2013,9,2013.708,1814.38
2013,10,2013.792,1818.62
2013,11,2013.875,1820.37
2013,12,2013.958,1819.39
2014,1,2014.042,1816.90
2014,2,2014.125,1816.39
2014,3,2014.208,1818.11
2014,4,2014.292,1820.90
2014,5,2014.375,1821.95
2014,6,2014.458,1818.40
2014,7,2014.542,1815.60
2014,8,2014.625,1819.82
2014,9,2014.708,1826.98
2014,10,2014.792,1831.25
2014,11,2014.875,1833.07
2014,12,2014.958,1833.54
2015,1,2015.042,1832.89
2015,2,2015.125,1832.68
2015,3,2015.208,1833.04
2015,4,2015.292,1833.19
2015,5,2015.375,1831.78
2015,6,2015.458,1827.35
2015,7,2015.542,1824.79
2015,8,2015.625,1829.19
2015,9,2015.708,1836.27
2015,10,2015.792,1841.46
2015,11,2015.875,1844.66
2015,12,2015.958,1844.84
2016,1,2016.042,1842.43
2016,2,2016.125,1841.63
2016,3,2016.208,1843.03
2016,4,2016.292,1843.74
2016,5,2016.375,1842.13
2016,6,2016.458,1837.86
2016,7,2016.542,1834.15
2016,8,2016.625,1836.68
2016,9,2016.708,1844.21
2016,10,2016.792,1849.86
2016,11,2016.875,1851.41
2016,12,2016.958,1851.10
2017,1,2017.042,1849.81
2017,2,2017.125,1848.54
2017,3,2017.208,1848.33
2017,4,2017.292,1848.61
2017,5,2017.375,1847.18
2017,6,2017.458,1842.98
2017,7,2017.542,1840.38
2017,8,2017.625,1844.65
2017,9,2017.708,1852.81
2017,10,2017.792,1858.08
2017,11,2017.875,1858.67
2017,12,2017.958,1856.68
2018,1,2018.042,1854.47
2018,2,2018.125,1854.94
2018,3,2018.208,1856.86
2018,4,2018.292,1856.67
2018,5,2018.375,1854.78
2018,6,2018.458,1851.99
2018,7,2018.542,1849.04
2018,8,2018.625,1851.88
2018,9,2018.708,1860.47
2018,10,2018.792,1865.73
2018,11,2018.875,1866.22
2018,12,2018.958,1866.02
2019,1,2019.042,1865.00
2019,2,2019.125,1864.96
2019,3,2019.208,1866.26
2019,4,2019.292,1865.30
2019,5,2019.375,1861.91
2019,6,2019.458,1858.82
2019,7,2019.542,1858.43
2019,8,2019.625,1863.00
2019,9,2019.708,1870.76
2019,10,2019.792,1875.37
2019,11,2019.875,1875.54
2019,12,2019.958,1874.68
2020,1,2020.042,1873.16
2020,2,2020.125,1872.73
2020,3,2020.208,1874.77
2020,4,2020.292,1875.87
2020,5,2020.375,1874.31
2020,6,2020.458,1871.89
2020,7,2020.542,1871.49
2020,8,2020.625,1876.52
2020,9,2020.708,1884.70
2020,10,2020.792,1890.09
2020,11,2020.875,1891.89
2020,12,2020.958,1891.82
2021,1,2021.042,1889.53
2021,2,2021.125,1887.56
2021,3,2021.208,1888.74
2021,4,2021.292,1891.23
2021,5,2021.375,1891.61
2021,6,2021.458,1888.47
2021,7,2021.542,1886.35
2021,8,2021.625,1892.59
2021,9,2021.708,1902.68
2021,10,2021.792,1907.96
2021,11,2021.875,1909.46
2021,12,2021.958,1909.29
2022,1,2022.042,1908.09
2022,2,2022.125,1907.94
2022,3,2022.208,1909.23
2022,4,2022.292,1909.98
2022,5,2022.375,1908.67
2022,6,2022.458,1906.11
2022,7,2022.542,1904.52
 2022,8,2022.625,1908.61
2022,9,2022.708,1915.86
2022,10,2022.792,1919.88
2022,11,2022.875,1923.62
2022,12,2022.958,1924.68
2023,1,2023.042,1922.07
2023,2,2023.125,1920.15
2023,3,2023.208,1919.76
2023,4,2023.292,1920.69
2023,5,2023.375,1920.00 
2023,6,2023.458,1915.94
2023,7,2023.542,1914.56
2023,8,2023.625,1919.15 
2023,9,2023.708,1927.35  